id,name,firstYearOfPlay,lastYearOfPlay
1,New Jersey Devils,1982,NA
2,New York Islanders,1972,NA
3,New York Rangers,1926,NA
4,Philadelphia Flyers,1967,NA
5,Pittsburgh Penguins,1967,NA
6,Boston Bruins,1924,NA
7,Buffalo Sabres,1970,NA
8,Montréal Canadiens,1909,NA
9,Ottawa Senators,1992,NA
10,Toronto Maple Leafs,1927,NA
11,Atlanta Thrashers,1999,2011
12,Carolina Hurricanes,1997,NA
13,Florida Panthers,1993,NA
14,Tampa Bay Lightning,1992,NA
15,Washington Capitals,1974,NA
16,Chicago Blackhawks,1926,NA
17,Detroit Red Wings,1926,NA
18,Nashville Predators,1998,NA
19,St. Louis Blues,1967,NA
20,Calgary Flames,1980,NA
21,Colorado Avalanche,1995,NA
22,Edmonton Oilers,1979,NA
23,Vancouver Canucks,1970,NA
24,Anaheim Ducks,1993,NA
25,Dallas Stars,1993,NA
26,Los Angeles Kings,1967,NA
27,Phoenix Coyotes,1996,2014
28,San Jose Sharks,1991,NA
29,Columbus Blue Jackets,2000,NA
30,Minnesota Wild,2000,NA
31,Minnesota North Stars,1967,1993
32,Quebec Nordiques,1979,1995
33,Winnipeg Jets (1979),1979,1996
34,Hartford Whalers,1979,1997
35,Colorado Rockies,1976,1982
36,Ottawa Senators (1917),1917,1934
37,Hamilton Tigers,1920,1925
38,Pittsburgh Pirates,1925,1930
39,Philadelphia Quakers,1930,1931
40,Detroit Cougars,1926,1930
41,Montreal Wanderers,1917,1918
42,Quebec Bulldogs,1919,1920
43,Montreal Maroons,1924,1938
44,New York Americans,1925,1941
45,St. Louis Eagles,1934,1935
46,Oakland Seals,1967,1970
47,Atlanta Flames,1972,1980
48,Kansas City Scouts,1974,1976
49,Cleveland Barons,1976,1978
50,Detroit Falcons,1930,1932
51,Brooklyn Americans,1941,1942
52,Winnipeg Jets,2011,NA
53,Arizona Coyotes,2014,NA
54,Vegas Golden Knights,2017,NA
55,Seattle,2021,NA
56,California Golden Seals,1970,1976
57,Toronto Arenas,1917,1919
58,Toronto St. Patricks,1919,1927
